id	baseMean	baseMeanA	baseMeanB	foldChange	log2FoldChange	pval	padj
LINC00520	3.86498585839861	1.32045750353273	4.12425700727133	3.12335459205416	1.64309636671936	0.149808889647561	0.425736353404464
DGKD	3103.17996974879	2414.05167416171	3173.39773115667	1.31455252806825	0.394571791609415	0.149832296864093	0.425762892018595
ACAD8	1530.50769317507	2006.7170021964	1481.98501335595	0.738512212600922	-0.437306316195058	0.149878703652861	0.425849466320344
TUBAL3	86.9235242675814	38.6464261577647	91.8426514870668	2.37648498498002	1.24882928648632	0.149890906891065	0.425849466320344
OR1H1P	2.96949663919143	5.12667822416114	2.74969364631354	0.536349957240287	-0.8987534583333	0.149912478396083	0.425862947372426
AL390318.1	4.93309235420108	0.198104380483143	5.41555731455286	27.3368882674135	4.7727771265414	0.149923796097737	0.425862947372426
XKR6	50.148932657401	78.3627910346125	47.2741211185147	0.603272554414683	-0.729118145724515	0.149953233864098	0.425906589998047
ATAD3B	951.081252108519	608.579541179142	985.979983700061	1.62013330548328	0.696112523756425	0.150057426486449	0.426162527942888
AL022326.2	11.9558068069108	19.8419639234746	11.152257885205	0.562054135780938	-0.831219000631023	0.150108674482994	0.426268069426561
RIMBP2	55.8636777419031	92.7727322730428	52.1028813830042	0.561618485371956	-0.832337672928025	0.150171397773501	0.426406174781333
ACER2	346.00475626299	550.77050940134	325.140436962148	0.590337411702669	-0.760388321681202	0.150264807270689	0.426588340816318
ADCY9	3039.93279282096	2433.50198980342	3101.72420917892	1.27459283870546	0.350036460109401	0.150271779808448	0.426588340816318
LINC01127	11.3872165925441	20.8005156525938	10.4280616838104	0.501336690781029	-0.996148271956427	0.150283319318675	0.426588340816318
AP001453.2	69.495270513009	30.5660004787595	73.4619138979236	2.40338653233264	1.26506869317616	0.150296972375753	0.426588340816318
ZNF385B	570.169839883272	339.625355791479	593.660846828604	1.74798741232117	0.805694795681068	0.150318084629325	0.426588340816318
RHEBL1	93.9293829199466	43.3388026618433	99.08423915905	2.2862708029146	1.19299629720207	0.150320129083872	0.426588340816318
AC008742.1	3.89986385512085	7.28345428090951	3.55509765303418	0.488105988713674	-1.03473364220408	0.150381138611703	0.426700043299596
RNLS	437.993119214287	635.381306941039	417.880526596503	0.657684640752707	-0.604532116220073	0.150387689978968	0.426700043299596
AK3P3	10.4822944919439	17.9823198166102	9.71808992775341	0.540424707538391	-0.88783446051195	0.150417604417643	0.426731151635691
AL589765.1	2.18175421674593	0.667552526817263	2.33604167478194	3.49941252701065	1.80711274619867	0.150430683812043	0.426731151635691
AC004158.1	2.48442999407335	0.381994275823973	2.69865473362445	7.06464704949669	2.82061748516496	0.15044095617755	0.426731151635691
DPYD-AS1	3.78814099626524	5.70199142059352	3.59313189081069	0.630153857796698	-0.666223976147649	0.150477634034317	0.426795186389928
C19orf81	10.8961930080679	3.65740261378023	11.6337794053217	3.18088562672548	1.66942849865441	0.150522687345069	0.426847118479434
RN7SKP180	4.27982396077152	0.738695077890277	4.64064232304887	6.28221638663493	2.65127363648696	0.15053245557602	0.426847118479434
CDH4	106.849877523119	165.825022950123	100.840687772667	0.608115023768141	-0.717583862460476	0.150538257791065	0.426847118479434
MEX3C	2917.79467174749	3641.23461990907	2844.0807726111	0.781075945246868	-0.356465264184341	0.150566817005224	0.426888100339995
BX284613.2	8.63548460030507	14.7949590399712	8.0078735888693	0.541256894813607	-0.885614597126443	0.150603556234061	0.426950409989212
DIRC3	59.772973656553	101.213286853019	55.550471049519	0.548845638519663	-0.865527643026063	0.150627317933617	0.426950409989212
DNAJB2	6201.08149903078	4980.69865450771	6325.43069779643	1.26998863745183	0.344815589308288	0.150631118113036	0.426950409989212
AC078785.1	13.7048271656792	24.3329583345399	12.6218886426123	0.51871574631745	-0.946983929563708	0.150670095729934	0.427020894088311
AC020915.3	1.98504519947901	0.605160257907357	2.12564664077531	3.51253508967326	1.81251263770217	0.15085302379586	0.427499303224469
GOT1	2688.67050957094	2269.81779200494	2731.34891992707	1.20333399867945	0.267037134084876	0.15093612953664	0.427694764809675
LNX2	1868.95221008276	1365.67085584385	1920.23335798988	1.40607332269925	0.491671828789126	0.150978896372879	0.427738044969393
C10orf105	5.59273855650989	10.1221722823603	5.13121825802379	0.5069285638386	-0.980145637317679	0.150979671425935	0.427738044969393
MIR31HG	9.72683721465405	16.0241009190856	9.08518635928817	0.566970116149681	-0.818655399259268	0.151047860933189	0.427891174335028
C9orf152	1696.63565464426	1195.14782824959	1747.73405354651	1.4623580549916	0.548296595090497	0.151064821710068	0.427899166923603
RN7SL236P	3.30748192832178	1.03371044423018	3.53916468549252	3.42374859927837	1.77557677069639	0.151122446979247	0.427997030134771
ANKRD66	3.70602786412667	0.778174512237828	4.00435737608649	5.14583465933752	2.36340510262438	0.151127656346699	0.427997030134771
RILPL2	1529.17357799225	1995.91614460258	1481.61549861716	0.742323520266015	-0.42988001402401	0.15116477704081	0.428045453322547
SUGCT-AS1	21.0415248801698	8.31512449766473	22.3382636026433	2.68646171310086	1.4257072771989	0.151173328771415	0.428045453322547
ITPRIPL2	4971.8359942551	4115.68039125999	5059.07276895162	1.22921905687697	0.297742038663083	0.15119289339578	0.428045453322547
NAMPT	6173.68168278846	7336.28823630215	6055.21951818337	0.825379173111047	-0.276871059775386	0.151203856721707	0.428045453322547
GNPTG	3876.95541913833	3045.25081434307	3961.7007936576	1.3009440059906	0.379558868267745	0.15121547571197	0.428045453322547
LRRC4B	48.2134240157791	80.7634761395571	44.8967820951416	0.555904528150339	-0.84709096120284	0.151379447208139	0.428469529635234
KBTBD12	48.7757113262476	153.841273109112	38.0702032275428	0.2474641717281	-2.01470843034902	0.151407215280971	0.42847985704764
MICOS13	2159.14416463231	1625.03851600782	2213.56611079513	1.36216224353447	0.445898549166749	0.151411412988384	0.42847985704764
GOLGA5	4574.34733049744	3641.49681425396	4669.39882584055	1.28227458762645	0.358705235270512	0.151447892908433	0.428543018521543
AL109761.1	12.5234678243818	3.72836969748701	13.4196320158508	3.59932976198574	1.84772828458759	0.151516718344429	0.428697685794451
TMEM18	1659.08013272041	2160.90598838069	1607.94729080011	0.744107934100851	-0.426416193045909	0.151593760637394	0.428874300600988
SNRPGP9	3.25531937378453	0.984744079398834	3.48667645968677	3.54069299082794	1.82403175482399	0.15160748332384	0.428874300600988
TRIM66	965.662405550476	1283.6469438731	933.2618168846	0.727039332223786	-0.459894680028238	0.151641784942859	0.428931240090263
GPSM3	1375.88801908579	977.318097910001	1416.49974234356	1.44937430850073	0.535430226558866	0.151666787248458	0.428961867523372
SH2D6	18.8667413583466	7.18197119911432	20.0573446297562	2.79273531927136	1.48167884906752	0.151760234898862	0.429186056325974
AC022034.4	14.6477325564658	25.6596621213209	13.5256874339873	0.527118688080802	-0.923800253657406	0.151836912821556	0.429316057335456
PGAP2	2084.58585938482	1518.36518426579	2142.28012114176	1.41091230445834	0.496628319717704	0.151847903762616	0.429316057335456
PODNL1	666.703178316797	408.434379238155	693.019115463674	1.69676978895937	0.762790838978207	0.151848761779028	0.429316057335456
ZNF812P	97.1368206366869	159.56855280478	90.7754268269534	0.568880429328768	-0.813802644714225	0.151929087113154	0.429503032536702
BSN-DT	6.11464460903156	2.17025741081844	6.51655241191531	3.00266336123594	1.58624273853164	0.152005746523225	0.429642266710513
PCDHB2	549.518536613094	331.491135672093	571.734132921781	1.72473430326454	0.786374130652292	0.1520067326329	0.429642266710513
MIMT1	10.5346083692766	3.91105374299605	11.2095061806109	2.86610896121919	1.51909345775862	0.152245922849834	0.430278143743419
BFSP2-AS1	13.1414251759064	4.73685561992503	13.9977970062274	2.95508204796179	1.56319818743979	0.152266793262697	0.430296943179475
CEP57	2303.78023473769	2919.20305768107	2241.07258911767	0.767700137618352	-0.381385188170511	0.152381205463267	0.430580057977111
SENP7	1252.69302813766	1638.39818629347	1213.3921418693	0.740596609554572	-0.433240150009203	0.152418223048266	0.430638845964974
NIPAL1	283.403381019637	414.829968926155	270.011853126547	0.650897652899839	-0.619497382927982	0.152430470144295	0.430638845964974
CLCN3P1	17.6884184565401	29.8385781031403	16.4503949758676	0.551312965349925	-0.859056564878447	0.152455324537761	0.430668859001799
AC145207.9	19.0035302032475	6.80427314844249	20.2465563954864	2.97556490660885	1.57316358794869	0.152492089170669	0.430718175345149
AC073592.8	2.05698801737127	0.679123639901344	2.19738357612159	3.23561638414001	1.69404057145591	0.152501247358929	0.430718175345149
PIK3R2	93.1874179914295	40.0237888664172	98.6044514369898	2.46364610222412	1.30079503069376	0.152515567714616	0.430718423455339
AC079089.1	7.39894938558839	3.282783498931	7.81836033706927	2.38162533094711	1.25194647126258	0.152590247941795	0.430889117613375
