id	baseMean	baseMeanA	baseMeanB	foldChange	log2FoldChange	pval	padj
ULBP1	97.5026309534888	12.3066987080553	106.183551010959	8.62811006671158	3.10904458072717	0.00111058982637184	0.0103002696645697
LINC02766	2.43546580774669	9.10254507063006	1.75613311459446	0.192927703292647	-2.37386777403411	0.00111226365530584	0.0103096689237651
WSCD1	168.965969407401	474.339249673112	137.850387198181	0.290615603269558	-1.78281593095551	0.00111292116576621	0.0103124106673554
RRS1	1904.15726405785	906.26994419816	2005.83559331317	2.21328711842901	1.14619061673536	0.00111371556023108	0.0103166127943903
TCAM1P	69.9750838260157	9.07485291495514	76.1804274625801	8.39467351994615	3.06947421791827	0.00111459256102988	0.0103194952672504
PCSK6	2261.27459508284	1142.86125995534	2375.23375366662	2.07832204738433	1.05541922506264	0.00111470872116584	0.0103194952672504
KALRN	1043.80894450244	2010.39476165089	945.320037976039	0.470216126707255	-1.08860407584196	0.0011163877689434	0.0103318786090318
SPOCD1	314.693569867512	75.7518801102176	339.04019830987	4.47566710973474	2.16210273582398	0.00112092924375116	0.0103707372985758
C5orf38	1149.3513164187	445.190805186869	1221.10076436207	2.74287058523032	1.45568655421282	0.00112151658073366	0.0103730000864128
AP002026.1	86.5544451198268	236.315868087813	71.2947149165965	0.301692457190831	-1.72884946770807	0.00112276992677056	0.0103814195826023
TENM3-AS1	50.4600684801971	158.021075724371	39.5002904652362	0.24996849492491	-2.00018182031914	0.00112322601127932	0.0103824645019383
IFIT2	2508.1337771915	1288.54829933354	2632.40172939885	2.04292049491692	1.03063305927379	0.00112371147537532	0.0103837802684835
GABBR2	151.72550840285	12.0556876830778	165.956968945081	13.7658649848759	3.78302336011932	0.00112867124042431	0.0104232461852184
SLC22A18	1473.93831543512	652.110065813573	1557.67735259223	2.38867245615796	1.25620903953148	0.00113543043418455	0.0104792714942748
IFI44	2517.15604382788	1277.26276827677	2643.49323060631	2.06965496549531	1.04939027445927	0.00113641543401877	0.0104851647194238
NLRP1	1177.62090813038	2182.52118534652	1075.22800341854	0.492654096848011	-1.02135304039754	0.00113994486714893	0.0105113197789543
LYPLAL1-AS1	27.56472976476	77.5598547013074	22.4705466107205	0.289718781672005	-1.78727488129473	0.00114293142565312	0.0105356484113738
PYROXD2	668.524586242367	1370.99657871093	596.9471875508	0.435411143120484	-1.19954976517716	0.00114732984494484	0.0105729729286132
C1DP5	2.65684699565462	9.7777385701951	1.93127373332542	0.197517423835856	-2.33994816983652	0.00114827435249102	0.010578455625399
LINC01665	10.3111732253983	0.464613587536401	11.3144746132057	24.3524402142442	4.60599443839003	0.0011537324915411	0.0106222714911799
H2BC11	206.281018139572	37.1870236353781	223.510613612046	6.01044643431501	2.58747215310821	0.00115658238690516	0.010642034896598
P2RX6P	5.23860405816508	17.910304661868	3.94743889295459	0.22040043245936	-2.18180104018718	0.00115732088852148	0.0106455933280625
OCIAD2	2504.6602124542	1242.371241215	2633.27937724232	2.11955918640475	1.08376425265884	0.00115986739379564	0.0106625355220041
RAPGEF4-AS1	3.18196815939279	9.5033324814225	2.53786160538976	0.267049649199465	-1.90482010580251	0.00116481115214277	0.0107020273990134
BIK	768.98489067103	266.314905845446	820.20374394902	3.07982664862559	1.62284914955445	0.00116601085880361	0.0107092523884594
TNFRSF12A	2879.12418708349	1463.68961347872	3023.34790828939	2.06556627883958	1.04653735340104	0.00116711023323959	0.0107160973872966
C10orf82	308.513078370521	72.0650528949462	332.605618387419	4.61535244929715	2.2064408228305	0.00116931418075637	0.0107330770555748
NTRK3	637.481761250212	1353.51046194556	564.523020782607	0.417080648177003	-1.26160171966994	0.00116990746740692	0.0107352667332128
EME2	1049.30217819698	404.186193472922	1115.03536690195	2.75871710837311	1.46399752364585	0.0011711302522652	0.0107432297133379
COA6	1343.84679298078	589.753861807971	1420.68403484059	2.40894401349961	1.26840086415128	0.00117978433110713	0.0108095105093234
ZIC2	137.813853176162	19.6618360319303	149.852787294556	7.62150528827516	2.93007596588882	0.0011805484205563	0.0108132375457915
P2RY14	139.888175356038	396.24725255179	113.766826642674	0.287110701487588	-1.80032098971551	0.00118194822113195	0.010822783363424
RAB40C	2343.44763761291	1191.56000861886	2460.81761243376	2.06520661538993	1.04628612454397	0.00118269753366536	0.0108253191417128
RABIF	1443.47223710714	646.943754807116	1524.63338994745	2.35667069759722	1.23675018195081	0.00118323395851921	0.0108253191417128
AC010207.1	13.6269444105762	41.7571222041696	10.7606593874237	0.257696383740478	-1.95625580292183	0.00118361839814591	0.0108253191417128
FOXP3	347.116965078528	84.1344564010191	373.913199055587	4.44423384960573	2.15193473139628	0.00118365598387231	0.0108253191417128
DLK2	131.18949288298	353.784347168037	108.50850232012	0.306708036092343	-1.7050621275694	0.00118583298062398	0.0108382878429556
KLF8	821.214124815847	1602.76272896592	741.579325655379	0.462688152309253	-1.11188793746573	0.00119523227459982	0.0109114070365655
RNF180	380.569605172732	871.457475668765	330.551273913893	0.37930855278994	-1.39855619246555	0.00119775037363315	0.0109310975745657
AF015262.1	9.58538101671834	0.666111304967056	10.4941974977173	15.7544203490682	3.97768476927399	0.001198406669367	0.0109337898809326
PSD2	43.3376450587121	125.188368768662	34.9975803344341	0.279559360655197	-1.83877344248059	0.00120691635410379	0.0109981661018497
ST3GAL4	2187.30387459033	1111.77621841238	2296.8932570503	2.06596725043306	1.04681738488434	0.00120964455625926	0.0110197089723281
RBP1	2846.31732517102	1406.81206596791	2992.9936951349	2.1275007284471	1.0891596258839	0.00121087060879627	0.0110275586018662
LINC00518	24.5843504977435	1.62394604695403	26.9238687150015	16.5792876958576	4.05131011983146	0.00121426812224857	0.0110518484762732
AC044893.1	2.34560882026609	7.72891811239639	1.79708406822757	0.232514310812173	-2.10460858080702	0.00121996342566698	0.0110956476300786
PDE7B	249.582014291436	614.337482351307	212.415767320502	0.34576397081862	-1.53214054930036	0.00122018026345378	0.0110956476300786
MYO19	2398.88285181007	1220.53202094107	2518.94925748022	2.06381251311868	1.0453119151993	0.00122151892962975	0.0111044840394669
TDRKH	1623.84734048637	765.314080870728	1711.32638317038	2.23610988735937	1.16099108713146	0.00122380607228419	0.0111219348845455
GRB7	3813.61952080347	1440.72724111357	4055.40205245807	2.81482985587443	1.49304772035001	0.00122538706208051	0.0111302431229848
ADAMTSL2	565.036912157526	192.291631067507	603.017269924137	3.13595171342865	1.64890334537999	0.00122825437081548	0.011148968813434
STOX2	347.012810392561	793.025343198062	301.566988745112	0.380274087495075	-1.39488846019449	0.00123028132536157	0.0111640191152675
AL139317.4	7.23020592299616	20.0357841559553	5.92539948447101	0.295740832420067	-1.75759464729305	0.00123221019949391	0.0111781706436704
H2BC6	22.6326508399013	1.76384019626297	24.7590490389374	14.0370137223282	3.81116413977239	0.00123684771366671	0.0112135177827129
PSMG3	1856.08230150872	860.594290550406	1957.51615654775	2.27460974124729	1.18561904084365	0.00124048294590731	0.0112406070467613
SOX9-AS1	388.121863309162	828.332149609564	343.267253433648	0.414407739208779	-1.27087714877924	0.00124094994360207	0.0112406070467613
KLHDC7B-DT	120.125900802006	15.7540096004008	130.760728309474	8.30015542875808	3.05313835262811	0.00124331181209622	0.0112572548514169
CR381653.2	4.62203992692372	15.6006911001318	3.50338565950035	0.224566055248075	-2.15478822425618	0.0012462666777927	0.0112786388965432
IFI35	2573.90899224999	1343.24288302702	2699.30598985341	2.009544233557	1.00686833396843	0.00124932004798816	0.0113028916628597
CCL24	14.5398082669263	48.0080398766755	11.1296097350041	0.231828038878367	-2.10887302852387	0.00124991258190917	0.0113048728231671
TUBA5P	239.030746955877	45.3605786316447	258.764497199915	5.7046119120578	2.51212874250097	0.00126068342895314	0.0113954786769441
CCR8	43.8174717982397	5.10805698150983	47.7617133440382	9.35027027241987	3.22500806714406	0.00126146561076582	0.0113991441560484
POU4F1	25.756147801748	2.91090208510328	28.0839320812619	9.64784498420031	3.27020672706365	0.00126302469699471	0.0114098257925823
DONSON	1028.32167593013	416.726787580243	1090.63927952214	2.61715664081741	1.38800027446909	0.00126416366284842	0.0114167069318955
ASPSCR1	1962.78999328439	948.418021610997	2066.14800302208	2.17852039495463	1.1233486195933	0.00127632928979173	0.0115196997605032
AC055874.1	2.93228655919875	10.3860686318541	2.17279388633125	0.209202727552491	-2.25702643354725	0.00128610026263708	0.0116009693735278
MYO3B	350.269688768334	38.5102931839572	382.035975243568	9.92036008187853	3.31039248743799	0.00129261770318197	0.0116562841333123
AC025423.3	29.6882960531017	3.45165243063825	32.3616420669325	9.37569547260252	3.22892571104631	0.00129376734212526	0.0116631757744226
NBPF6	83.4991024658527	10.457633059935	90.9415605748416	8.696189668698	3.12038340668375	0.00129445028264623	0.0116658042797789
AL356274.2	6.21876415258102	0.357831102349936	6.81595570774433	19.0479688964509	4.2515652648243	0.00129482987726852	0.0116658042797789
